Object_ID,Area,Centroid_X,Centroid_Y,Aspect_Ratio,Average_Color,Label
126,11.5,1127,941,0.8333333333333334,[13.1846136  53.98857672 91.91496251],Matched Object
127,0.0,0,0,0.3333333333333333,[13.1846136  53.98857672 91.91496251],Matched Object
128,0.5,1202,934,1.5,[13.1846136  53.98857672 91.91496251],Matched Object
129,25.0,1121,938,0.4,[13.1846136  53.98857672 91.91496251],Matched Object
130,825.5,1153,957,0.9508196721311475,[13.1846136  53.98857672 91.91496251],Matched Object
131,8.5,545,930,0.8,[13.1846136  53.98857672 91.91496251],Matched Object
132,8.5,957,929,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
133,29.5,929,932,0.5333333333333333,[13.1846136  53.98857672 91.91496251],Matched Object
134,0.0,0,0,0.3333333333333333,[13.1846136  53.98857672 91.91496251],Matched Object
135,0.0,0,0,0.3333333333333333,[13.1846136  53.98857672 91.91496251],Matched Object
136,0.0,0,0,2.0,[13.1846136  53.98857672 91.91496251],Matched Object
137,177.0,742,913,0.7368421052631579,[13.1846136  53.98857672 91.91496251],Matched Object
138,71.5,395,907,1.2,[13.1846136  53.98857672 91.91496251],Matched Object
139,10.0,945,897,1.5,[13.1846136  53.98857672 91.91496251],Matched Object
140,4.0,737,897,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
141,0.0,0,0,0.3333333333333333,[13.1846136  53.98857672 91.91496251],Matched Object
142,119.5,370,902,1.3571428571428572,[13.1846136  53.98857672 91.91496251],Matched Object
143,65.0,343,892,2.3333333333333335,[13.1846136  53.98857672 91.91496251],Matched Object
144,163.0,751,897,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
145,0.0,0,0,0.14285714285714285,[13.1846136  53.98857672 91.91496251],Matched Object
146,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
147,1508.5,816,907,0.8275862068965517,[13.1846136  53.98857672 91.91496251],Matched Object
148,2.5,765,880,0.75,[13.1846136  53.98857672 91.91496251],Matched Object
